Interlocutor	Text	Acts
user	Dzień dobry!	greeting()
system	Witamy w systemie przychodni dr. Janet.	greeting()
user	Chciałbym zarezerwać wizytę	request(appointment)
system	Do jakiego specjalisty zarezerwować wizytę (Imę i Nazwisko)	request(doctor)
user	Jan kowalski	inform(doctor=Jan Kowalski)
system	Najbliższe wolne terminy to: - 14.04.2021 - 14:30 - 24.04.2021 - 11:00	inform(date=14.04.2021 - 14:30; date=24.04.2021 - 11:00)&request(date)
user	proszę o termin 14.04.2021 - 14:30	inform(date=14.04.2021 - 14:30)
system	Proszę podać swój identyfikator w systemie.	request(id)
user	123456789	inform(id=123456789)
system	Proszę podać swoje hasło	request(password)
user	h@slo1	inform(password=h@slo1)
system	Wizyta została zarezerwowana.	affirm()
user	Dziękuję	thankyou()
system	Dziękujemy za skorzystanie z usług naszej przychodni.	thankyou()
