Interlocutor	Text	Acts
user	Cześć	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Chciałbym się dowiedzieć, czy mam umówione jakieś wizyty.	(request(reserved_apoointments))
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	34534535	(inform(id=34534535))
system	Proszę podać swoje hasło.	(request(password))
user	janusz123	(inform(password=janusz123))
system	Ma Pan umówione następujące wizyty: -> Dentysta Andrzej Mroży - 15.04.2021 14:30 -> Internista Zofia Wątroba - 18.04.2021 12:00	(inform(reserved_apoointments=appointment_list[]))
user	Chciałbym odwołać wizytę u internisty	(request(appointment(doctor=internista);type=cancellation))
system	Wizyta u: Zofia Wątroba, Dnia 18.04.2021 o godzinie 12:00. Odwołać tę wizytę?	(inform(appointment(doctor=Zofia Wątroba;date=18.04.2021 12:00)&request(affirm;type=cancellation))
user	Tak	(affirm())
system	Wizyta odwołana. Czy możemy pomóc w czymś jeszcze?	(inform(cancellation)&request())
user	Jacy lekarze specjaliści przyjmują w państwa przychodni?	request(doctor_list)
system	Specjaliści pracujący w przychodni to: Dentysta Andrzej Mroży, Okulista Jan Kowalski, Internista Zofia Wątroba, Ginekolog Paweł Borowski, Lekarz Rodzinny Piotr Kolano	(inform(doctor_list))
user	Chciałbym umówić wizytę do doktora Kolano.	(request(appointment(doctor=Kolano;type=free))
system	Najbliższy wolny termin Pana dr. Piotra Kolano to: 30.03.2021 na godzinę 13:30. Czy chciałby Pan/Pani wybrać inny termin?	(inform(appointment(doctor=Piotr Kolano;type=free;time=date_list[30.03.2021 13:00]))&request(affirm))
user	Ten termin mi odpowiada.	(affirm())
system	Wizyta u: Piotr Kolano, Dnia 30.03.2021 o godzinie 13:30. Czy wszystko się zgadza?	inform(appointment(doctor=Piotr Kolano;type=reservation;time=date_list[30.03.2021 13:00]))&request(affirm))
user	tak	(affirm())
system	Wizyta umówiona. Dziękujemy za skorzystanie z usług naszej przychodni. Czy możemy w czymś jeszcze pomóc?	(inform(reservation_successful)&bye()&inform())
user	Nie, to wszystko. Do widzenia.	(bye())
system	Dziękujemy. Zapraszamy ponownie!	(bye())
