Interlocutor	Text    Acts
user	Cześć :)	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Jakie usługi medyczne są dostępne?	(request(info=medical services)
system	Specjaliści pracujący w przychodni to: Dentysta Anna Kowalska, Okulista Jan Kowalski, Internista Andrzej Mroży, Ginekolog Paweł Borowski, Lekarz Rodzinny Piotr Kolano. Jakie usługi Pana/Panią interesują?	(inform(doctor=doctor_list[])&request(service_type)
user	Chciałbym zapisać się do okulisty. Ile kosztuje wizyta?	(request(type=appointment, service="okulista")&request(pricing=okulista)
system	Czy jest pan naszym klientem?	(request(is_client))
user	Nie?	(deny()/inform(is_client=false))
system	Cena tej usługi bez wykupionego ubezpieczenia w naszej przychodni to 100 zł	inform(pricing=okulista, is_client=false)
user	Kiedy jest dostępna najbliższa wizyta?	(request(appointment(service=okulista))
system	Najbliższy wolny termin Pana dr. Jana Kowalskiego to: 31.03.2021 na godzinę 17:30. Czy chciałby Pan/Pani wybrać inny termin?	inform(doctor="Jana Kowalskiego";type=appointment_free;time=date_list[]))&request(diiferent_date)
user	Nie, ten jest idealny.	(deny())
system	Proszę podać Imię, Nazwisko oraz numer kontaktowy.	request(name;surname;telephone_number)
user	Jan Kowalski, 123-456-789	inform(name=Jan; surname= Kowalski; telephone_number=123-456-789))
system	czy chciałby Pan/Pani założyć konto tymczasowe w naszym systemie?	(request(create_account))
user	Tak.	(affirm())
system	Pański Login to: 123456789 (nr. kontaktowy) a hasło: abcdefgh. Podczas wizyty w przychodzni będzie miał Pan/Pani okazję do przejścia na konto stałe. Proszę dokonać płatności w wysokości: 100.00 pln na konto podane w zakładce "Płatności" na Pana/Pani koncie. Wpłaty trzeba dokonać do 6 godzin przed wizytą.	(inform(account_created(login=telephone_number, password='abcdefgh')&inform(payment))
user	Dziękuję za informację  : ).	(thanks())
system	Dziękujemy za skorzystanie z naszych usług. Czy możemy pomóc w czymś jeszcze?	(bye()&request())
user	Nie, dziękuję - to wszystko : ).	(bye())
system	Dziękujemy. Zapraszamy ponownie!	(bye())
