Interlocutor	Text	Acts
user	Dzień dobry!	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Chciałbym zarezerować wizytę u lekarza	request(appointment))
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	B1234	(inform(id="B1234"))
system	Proszę podać swoje hasło.	(request(password))
user	qwerty	(inform(password="qwerty"))
system	Do jakiego specjalisty zarezerwować wizytę (Imię i Nazwisko)	(request(name))
user	Chciałbym umówić wyzytę z dermatologiem	inform(service="dermatolog")
system	Proszę podać imię i nazwisko. Dostępni dermatolodzy: Jan Kowalski, Jan Nowak	(request(name)&inform(doctor=dermatolog_doctor_list[]))
user	Który ma wcześniejszy termin?	(request(compare(doctor1="Jan Kowalski",doctor2="Jan Nowak", type=first_avaliable))
system	Najbliższe wolne terminy: Jan Kowalski - 15.04.2021 14:30, Jan Kowalski - 18.04.2021 12:00	(inform(appointment(doctor=Jan Kowalski;type=free;time=date_list[]))
user	To chciałbym zapisać się do Jana Kowalskiego	(inform(doctor="Jan Kowalski"))
system	Proszę wybrać dzień oraz godzinę.	(request(date))
user	15.04 o 14:30	(inform(date="15.04 o 14:30"))
system	Twoja wizyta została zarezerwowana	(inform(reservation_accepted=True))
user	Ile będzie kosztowała?	(request(pricing=dermatolog))
system	Wizyta do lekarza dermatologa/internisty/okulisty/dentysty to już 100zł za badanie! Po szczegółowe informacje proszę udać sie na strone www.JanetMed.com (Ceny pojedyńczej wizyty bez ubezpieczenia)	(inform(pricing=dermatolog))
user	W jakim gabinecie została u mówiona wizyta?	(request(location(appointment=x))
system	Wizyta odbędzie sie w naszej placówce w Poznaniu ul, Uniwersytetu Poznańskiego 4, 61-614 Poznań, sala nr 21	(inform(location(appointment=x))
user	Dziękuję to by było wszystko	(thanks())
system	Dziękujemy za skorzystanie z usług naszej przychodni.	(thanks()&bye())
