Interlocutor	Text	Acts
user	Dzień dobry!	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Chciałabym odebrać receptę.	request(prescription)
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	1500100900	(inform(id=1500100900))
system	Proszę podać swoje hasło.	(request(password))
user	H@$$ło2091	(inform(password=H@$$ło2091))
system	Którą receptę chciałaby Pani odebrac? Dostępne recepty: 394857 - Krople do oczu, 237465 - Czopki	(request(receipt_id)&inform(prescriptions_list=[394857, 237465]))
user	394857	(inform(prescription_id=394857))
system	Oto Twoja recepta: tutaj (link)	(inform(prescription(id=394857))
user	Chciałabym zamówić receptę.	(request(prescription))
system	Recepty nie można zamówić. Czy chciałaby Pani umówić wizytę u lekarza specjalisty?	(inform(invalid_request=prescription)&request(appointment))
user	Tak.	(affirm())
system	Do jakiego lekarza specjalisty chciałaby Pani umówić wizytę. (Imię i nazwisko)	(request(doctor))
user	Dr. Anna Kowalska	(inform(doctor=Anna Kowalska))
system	Najbliższe wolne wizyty: Anna Kowalska 14.04.2021 13:30,  Anna Kowalska 16.04.2021 14:00	(inform(appointment(doctor=Anna Kowalska;type=free;time=date_list[14.04.2021 13:30, 16.04.2021 14:00]))
user	Proszę zapisać mnie na termin 14.04.2021 13:30	(request(date=14.04.2021 13:30))
system	Wizyta została zarezerwowana	(inform(reservation_accepted=True)
user	Dziękuje.	(thankyou())
system	Dziękujemy za skorzystanie z usług naszej przychodni.	(bye())
