Interlocutor	Text	Acts
user	Dzień dobry	greeting()
system	Witamy w systemie przychodni dr. Janet.	greeting()
user	Chcialbym odebrac receptę	request(prescription)
system	Ma Pan/Pani na myśli E-Receptę czy receptę papierową?	request(prescription_type)
user	e-receptę	inform(prescription_type=erecepta)
system	E-Recepta znajduje się w ogólnopolskim systemie medycznym. Można ją zrealizować w każdej aptece podając dane recepty, lub jej wydruk z panelu Twoje Konto. Czy chciałby Pan/Pani o wysłanie pliku .pdf tutaj?	inform(prescription_info=system)&request(prescription_pdf)
user	Tak	affirm()
system	Proszę podać swój identyfikator w systemie.	request(id)
user	123123	inform(id=123123)
system	Proszę podać swoje hasło.	request(password)
user	321321	inform(password=321321)
system	[PLIK PDF W ZAŁĄCZNIKU] .E-Receptę otrzyma pan również w pliku .pdf na swój adres email, oraz na numer kontaktowy w postaci kodu. E-Receptę można w takiej formie zrealizować w każdej aptece.	inform(prescription=file)
user	Chciałbym również umówić spotkanie z lekarzem internistą	request(appointemnt(doctor=internista))
system	Lekarz internista przypisany do Pana/Pani konta to: Piotr Kolano. Jego najbliższy wolny termin to: 01.04.2021 na godzinę 15:00. Czy chciałby pan/pani wybrać inny termin?	(inform(doctor=Adam Nerka; time=01.04.2021 na godzinę 15:00)&request(diiferent_date))
user	Tak	affirm()
system	Proszę podać Datę	request(date)
user	12.04.2021	inform(date)
system	Piotr Kolano ma tego dnia (12.04.2021) następujące wolne terminy: 12:00, 13:00, 13:30, 18:30, 19:00	inform(doctor=Piotr Kolano; date=12.04.2021; time=12:00, 13:00, 13:30, 18:30, 19:00)&request(date)
user	13:00	inform(time=13:00)
system	Wizyta u: Piotr Kolano, Dnia 12.04.2021 o godzinie 13:00. Czy wszystko się zgadza?	expl-conf(doctor=Piotr Kolano; date=12.04.2021; time=13:00)
user	Tak	affirm()
system	Wizyta została zarezerwowana.	inform(appointemnt)
user	Gdzie obędzie się wizyta?	request(address)
system	W przychodni przypisanej do Pana/Pani konta: Poznań, ul. Konwaliowa 25	inform(address=Poznań, ul. Konwaliowa 25)
user	Dziękuję za pomoc	thankyou()
system	Dziękujemy za skorzystanie z usług naszej przychodni. Czy możemy w czymś jeszcze pomóc?	bye()&request()
