Interlocutor	Text	Acts
user	Cześć	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
​user	Chciałbym umówić wizytę u lekarza.	(request(appointment))
​system	Proszę podać swój identyfikator w systemie.	(request(id))
​user	Nie korzystałem jeszcze z tego systemu przychodni.	(inform(id=null))
​system	W celu rejestracji do systemu potrzebujemy Twojej zgody na przetwarzanie danych osobowych, więcej informacji na temat przetwarzania danych osobowych znajdziesz **tutaj (link)**. Czy przeczytałeś regulamin i akceptujesz powyższe zgody? (TAK/NIE)	(inform(rejestracja)&request(acceptance))
​user	TAK	(affirm())
​system	Proszę podać swoje imię	(request(name))
​user	Janusz	(inform(name="Janusz"))
​system	Proszę podać swoje nazwisko	(request(surname))
user	Kowalski	(inform(surname="Kowalski"))
​system	Proszę podać swój adres email	(request(email))
​user	janusz.kowalski123@gmail.com	(inform(email="janusz.kowalski123@gmail.com"))
​system	Proszę podać swoje hasło	(request(password))
​user	janusz123	(inform(password="janusz123"))
​system	Proszę podać swój pesel	(request(pesel))
​user	54081112384	(inform(pesel="54081112384"))
system	Twoje konto zostało zarejestrowane. Twój identyfikator to 34534535.	(inform(rejestracja_complete))
​system	Do jakiego specjalisty chciałby się Pan zapisać? Dostępni specjaliści: - Dentysta Katarzyna Kowalska, - Okulista Jan Kowalski	(request(doctor)&inform(doctor=doctor_list[]))
​user	Chciałbym się zapisać do okulisty	(inform(service="Okulista"))
​system	Na jaki dzień? Dostępne terminy: 14.04.2021, 25.04.2021	(request(date)&inform(date=date_list[]))
​user	Jakie godziny są wolne 14.04?	(request(date_type=hours)&inform(date="14.04")
​system	Dostępne godziny w dniu 14.04.2021: 14.15, 16:00	(inform(hours=hours[], date="14.04"))
​user	Niech będzie godzina 16, 14 kwietnia.	(inform(hours="16", date="14.04"))
​system	Wizyta została zarezerwowana! Okulista Jan Kowalski, 14.04.2021 16:00. Prosimy stawić się na miejscu 15 min przed wizytą.	(inform(reservation_accepted=True)&inform(reservation_deitails))
user	Dziękuję, to wszystko.	(thanks())
​system	Dziękujemy za skorzystanie z naszych usług!	(thanks()&bye())
