Interlocutor	Text	Acts
user	Hej	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Dzień dobry, chciałbym umówić się na wizytę do lekarza rodzinnego. Najlepiej dzisiaj w godzinach popołudniowych.	(greeting()&request(appointment(doctor=lekarza rodzinnego;time=dzisiaj w godzinach popołudniowych))
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	12345678AFD	(inform(id=12345678AFD))
system	Proszę podać swoje hasło.	(request(password))
user	2febjs45	(inform(password=2febjs45))
system	Lekarz rodzinny przypisany do Pana/Pani konta to: Adam Nerka. Jego najbliższy wolny termin to: 31.03.2021 na godzinę 14:00. Czy chciałby Pan/Pani wybrać inny termin?	(inform(doctor="Adam Nerka";type=appointment_free;time=date_list[]))&request(diiferent_date))
user	A czy mogę zapisać się do Pani doktor Zofii Wątroby?	(request(appointment)&appointment(doctor=Zofii Wątroby))
system	Najbliższy wolny termin Pani dr. Zofii Wątroby to: 30.03.2021 na godzinę 19:00. Czy chciałby Pan/Pani wybrać inny termin?	(inform(doctor=Zofia Wątroba;type=appointment_free;time=30.03.2021 na godzinę 19:00)&request(diiferent_date))
user	Ten termin mi odpowiada!	(affirm(date))
system	Wizyta u: Zofia Wątroba, Dnia 30.03.2021 o godzinie 19:00. Czy wszystko się zgadza?	(inform(doctor=Zofia Wątroba;type=appointment;time=30.03.2021 na godzinę 19:00)&request(affirm))
user	Tak, bardzo dziękuję.	(affirm())
system	Dziękujemy za skorzystanie mz usług naszej przychodni. Czy możemy w czymś jeszcze pomóc?	(bye()&request())
