Interlocutor	Text	Acts
user	Dzień dobry!	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	dzień dobry, chciałbym umówić się na wizytę u lekarza internisty	request(appointment(doctor=lekarza internisty))
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	Nie mam swojego identyfikatora, nie pamiętam	(inform(id_forgotten=true))
system	W celu przypomnienia numeru identyfikatora proszę udać sie do najbliższej placówki.	(inform(id_forgotten))
user	mój identyfikator to: <identyfikator>	(inform(id=<identyfikator>))
system	Proszę podać swoje hasło	(request(password))
user	<hasło>	(inform(password=<hasło>))
system	Najbliższe wolne wizyty u internisty: Jan Nowak - 14.04.2021 14:30, Jan Kowalski - 16.04.2021 12:00	(inform(appointment(doctor=Jan Kowalski;type=free;time=date_list[14.04.2021 14:30, 16.04.2021 12:00]))
user	czy są dostępne jakieś wizyty w terminie 20.04.2021 u dr. Adam Skrzypczak?	(request(appointment(doctor=Adam Skrzypczak;type=free;time=[20.04.2021]);type=info))
system	Nie ma takiego specjalisty w naszej przychodni. Czy chciałbyś zobaczyć wykaz dostępnych specjalistów?	(inform(doctor_not_exists)&request(doctor_list))
user	tak	(affirm())
system	Specjaliści pracujący w przychodni: Dentysta Anna Kowalska, Internista Jan Kowalski, Internista Andrzej Mroży, Ginekolog Paweł Borowski, Internista Jan Nowak, Okulista Andrzej Duda	(inform(doctor_list))
user	jakie są dostępne terminy wizyt na 20.04.2021 u dowolnego internisty?	(request(appointment(doctor=internista;type=free;time=[20.04.2021])))
system	Dostępne wizyty 20.04.2021: Jan Nowak 12:00, Jan Kowalski 14:00, Andrzej Mroży 12:00, Andrzej Mroży 13:30, Andrzej Mroży 14:30	(inform(appointment(doctor=Jan Nowak;type=free;time=date_list[20.04.2021 12:00])&inform(appointment(doctor=Jan Kowalski;type=free;time=date_list[20.04.2021 14:00])&inform(appointment(doctor=Andrzej Mroży;type=free;time=date_list[20.04.2021 12:00, 20.04.2021 13:30, 20.04.2021 14:30]))
user	prosze o rejestrację do mrożego na 12.00. dziękuję to wszystko.	(request(appointment(doctor=Mroży;type=free;time=[20.04.2021 12:00]);type=reservation)&bye())
System	Wizyta została zarezerwowana. Dziękujemy za skorzystanie z usług naszej przychodni.	(inform(reservation_accepted=True)&bye())
