Interlocutor	Text	Acts
user	Cześć! : )	greeting()
system	Witamy w systemie przychodni dr. Janet.	greeting()
user	Chciałbym się zapisać na wizytę do okulisty. Jakie są dostępne terminy?	request(appointment(doctor=okulista))
system	Dostępne terminy (Okulista Jan Kowalski): 14.04.2021, 25.04.2021	inform(doctor=Jan Kowalski;type=free;time="14.04.2021, 25.04.2021"
user	Chciałbym się zapisać na 14-ego, jakie są dostępne godziny?	inform(date=14)&request(time)
system	Dostępne godziny w dniu 14.04.2021: 14.15	inform(time=14.15)
user	Chciałbym tą 14.15.	affirm()
system	Proszę podać swój identyfikator w systemie	request(id)
user	Nie posiadam identyfikatora.	inform(id=null)
system	W celu rejestracji do systemu potrzebujemy Twojej zgody na przetwarzanie danych osobowych, więcej informacji na temat przetwarzania danych osobowych znajdziesz **tutaj (link)**. Czy przeczytałeś regulamin i akceptujesz powyższe zgody? (TAK/NIE)	inform(registration_info=link)&request(agreement)
user	TAK	affirm()
system	Proszę podać swoje imię	request(name)
user	Jan Kowalski	inform(name=Jan Kowalski)
system	Proszę podać swój adres email	request(email)
user	jan.kowalski@gmail.com	inform(email=jan.kowalski@gmail.com)
system	Proszę podać hasło	request(password)
user	Skąd wziąć hasło?	inform(password=Skąd wziąć hasło?)
system	Proszę powtórzyć hasło	request(password)
user	Skąd wziąć hasło?	inform(password=Skąd wziąć hasło?)
system	Proszę podać pesel	request(pesel)
user	1234567835432	inform(pesel=1234567835432)
system	Twoje konto zostało zarejestrowane. Twój identyfikator to 423423.	inform(registration_accepted=True; id=423423)
system	Wizyta została zarezerwowana! Okulista Jan Kowalski, 14.04.2021 14:15.Prosimy stawić się na miejscu 15 min przed wizytą	(inform(reservation_accepted=True))
user	Dziękuję za pomoc i miłego dnia : ) thankyou()&bye()
system	Dziękujemy za skorzystanie z naszych usług!	thankyou()
