Interlocutor	Text	Acts
user	Dzień dobry	greeting()
system	Witamy w systemie przychodni dr. Janet.	greeting()
user	Chciałbym umówić się na wizytę u specjalisty	request(appointment)
system	Proszę podać swój identyfikator w systemie.	request(id)
user	20013007	inform(id=20013007)
system	Proszę podać swoje hasło.	request(password)
user	8008	inform(password=8008)
system	Do jakiego specjalisty zarezerwować wizytę (Imę i Nazwisko)	request(doctor)
user	Proszę podać listę specjalistów	request(doctor=lista specjalistow)
system	Specjaliści pracujący w przychodni: Dentysta Anna Kowalska, Okulista Jan Kowalski, Internista Andrzej Mroży, Ginekolog Paweł Borowski	inform(doctor=doctor_list)
user	Chciałbym wizytę u  Internista Andrzej Mroży	request(appoinntmet(doctor+Andrzej Mroży))
system	Najbliższe wolne terminy: Andrzej Mroży - 15.04.2021 14:30, Andrzej Mroży - 18.04.2021 12:00	inform(doctor=Andrzej Mroży; date=15.04.2021 14:30; date=18.04.2021 12:00)
user	wybieram termin 15.04.2021 o 14:30	inform(date=15.04.2021 o 14:30)
system	Wizyta została zarezerwowana	affirm()
user	dziękuję	thankyou()
system	Dziękujemy za skorzystanie z usług naszej przychodni.	thankyou() 	
