Interlocutor	Text	Acts
user	Dzień dobry	(greeting())
system  Witamy w systemie przychodni dr. Janet.	(greeting())
user	Chcialbym odebrać wyniki badań gastroskopii	(request(results)&inform(appointent(type=gastroskopia))
system  Proszę podać swój identyfikator w systemie.	(request(id))
user	123123	(inform(id=123123))
system	Plik podsumowujący badanie: **tutaj (link)** Komentarz doktora: "Wszystko w normie, kontrola za 2 miesiące"	inform(results(comment=Wszystko w normie, kontrola za 2 miesiące;url=**tutaj (link)**))
user	Jakie mam zaplanowane wizyty?	(request(reserved_apoointments))
system  Ma Pan wizyty w poszczególne dni: - 14.04.2021 - Dentysta Kasia Kowalska	(inform(reserved_apoointments=appointment_list[appointent(doctor=Kasia Kowalska;date=14.04.2021)]))
user	Chciałbym przenieść tą wizyte na 21.04.2021	(request(transfer_appointent(new_date=21.04.2021)))
system	Na którą godzinę? Dostępne godziny 21.04.2021: 10.15, 16.45, 17:15	(request(hour)&inform(hour_list=[10.15, 16.45, 17:15]))
user	17:15	(inform(hour=17:15))
system	Dziękujemy, wizyta o ID: 32424 została przeniesiona na 21.04.2021 17:15	(thankyou()&inform(transfer_appointent_accepted=True;date=21.04.2021 17:15))
user	Dziękuję bardzo	(thankyou())
system	Dziękujęmy za skorzystanie z naszych usług	(bye())
