Interlocutor	Text	Acts
user	Dzień dobry!	(greeting())
system	Witamy w systemie przychodni dr. Janet.	(greeting())
user	Dzień dobry. Chciałabym sprawdzić wyniki swoich ostatnich badań	(greeting()&request(results))
system	Proszę podać swój identyfikator w systemie.	(request(id))
user	123456	(inform(id="123456"))
system	Proszę podać swoje hasło.	(request(password))
user	haslo	(inform(password="haslo"))
system	Lista wyników Twoich badań z ostatnich 60 dni: Wyniki badań okulistycznych (21.03.2021) [1], Wyniki badań cytologicznych (19.03.2021) [2]. W celu sprawdzenia konkrentego badania wpisz jego numer	(inform(results(id=123456)&request(number)
user	1 i 2	(inform(number=1)&inform(number=2))
system	Widzę wyniki badania okulistycznego. Komentarz doktora: “Wszystko w normie”	(inform(results(id=123456; number=1))
user	Widzę wyniki badania okulistycznego. Czy w pliku powinny znajdować się też dot. badań cytologicznych?	(request(results(id=123456; service=cytolog)
system	Plik podsumowywujący badanie okulistyczne: tutaj (link). Komentarz doktora: “Wszystko w normie”	(sendFile(link)&inform(results(id=123456; number=1))
system	Plik podsumowywujący badanie cytologiczne: tutaj (link). Komentarz doktora: “Wszystko w normie”	(sendFile(link)&inform(results(id=123456; number=2)
user	Teraz chyba widzę wszystko czego potrzebuję. Czy możesz mi powiedzieć na kiedy mam umówione następne wizyty?	(request(appointment(type=reserved))
system	Ma Pani wizyty w poszczególne dni: 14.04.2021 - Dentysta Anna Kowalska, 24.04.2021 - Okulista Jan Kowalski	(inform(appointment(doctor=Anna Kowalska;type=reserved;time=date)&appointment(doctor=Jan Kowalski;type=reserved;time=date)
user	A o której mam dentystę?	request(appointment(time, service=dentysta))
system	14.04.2021 - Dentysta Anna Kowalska - 12:00 - sala nr. 21	(inform(appointment(time))
user	Ok. Wszystko wiem. dzięki!	(thanks())
system	system  Dziękujemy za skorzystanie z usług naszej przychodni.	(thanks()&bye())
